,rating,review,review dictionary based sentiment
0,1.0,"You can only install this thing 3 times, and if you upgrade or reinstall your OS it counts as one of those installs. This is insane, I won't buy from EA again.",-0.05555555555555555
1,1.0,"Bought this to play games on my pc to replace my old wired 360 controller.

The micro usb port cant hold the wire I use to plug it in to my pc. It did for a while but now any slight rumble or jolt and it disconnects. This was a waste of the 45 bucks it cost me. If you are looking for a controller to use for your pc or laptop go look somewhere else. This controller is pure garbage.",-0.026262626262626265
2,1.0,Rednecks...Disrespectful arrogant rednecks everywhere.,-0.4
3,1.0,"I don't know how great this game is.  I get halted by steam because I bought a used game.  According to VALVE used games are INVALID.
AMAZON PLEASE PULL ALL USED SALES.  They will not work.",0.04642857142857143
4,1.0,"Christmas gift for our son, he will love it",0.1111111111111111
5,1.0,"Just buy something else.

After some struggle (hoops) the game downloaded fine. Then came the patches... all 11GB worth of them. But I (and the rest of the internet, it seems) keeps running into the same errors when downloading the patches. After some research, this has apparently been going on for 3 years... The game looks wonderful from the screen shots I've seen but without a clear way to play it, it doesn't seem worth the time or money.",0.029415954415954414
6,1.0,Until EA backs off the limited online activations and quits treating paying customers like criminals I cannot recommend this game to anyone who wants to own it. This is nothing more than a cheap ploy to artificially keep the price of the game high and destroy second-hand sales. This draconian DRM has nothing to do with piracy.,-0.07513227513227512
7,1.0,"It's the same thing every year. This game has become and steady steam of revenue for EA and they don't have to change anything to keep on making money. If you're listening 2K Sports, I would seriously spend whatever it took to get another game like All Pro Football.",0.031159420289855074
8,1.0,"I don't know what caused it, but this cable burned me today.

I have used this product for a decent amount of time and had no issue until today, when the cable burned my hand when I went to pick it up today.  It was enough to melt the plastic on it as I could smell it burning.  I quickly unplugged the cable, and to make sure it wasn't the USB port I plugged it into I plugged in other cables, all to no reaction, however when I re-plugged this cable in another USB port, it quickly began heating.  I don't know if it's the manufacturer's fault, but I figured I needed to warn people that this is possible.

Hopefully this was a one off incident, and nobody else has to deal with this, however there are 4 children in my house and I'm so SO glad that I'm the one who discovered the cable, as opposed to one of them.",-0.034741423451100865
9,1.0,"This is complicated to put together, and the instructions are minimal. The worst part is, where the screws actually go, and how it closes, doesn't completely fit the controller. You either sacrifice function, or it is a waste of money.",-0.07912457912457913
10,1.0,"For a game for PS4, this is a throwback to PS2 for graphic, story line and overall gameplay. Not do good for PS4 standard!",0.08333333333333333
